id,id_teste,seq,resposta,pontuacao,musica,personalidade
214249463,1,901680501,9018560,3,musica_1.flac,pouco-introvertido
214249463,2,955910987,9559709,6,musica_1.flac,pouco-introvertido
214249463,3,975814302,975264,4,musica_1.flac,pouco-introvertido
214249463,4,745092904,7450124,5,musica_1.flac,pouco-introvertido
214249463,5,005189030,00584022,3,musica_1.flac,pouco-introvertido
214249463,6,853750302,8564715,2,musica_1.flac,pouco-introvertido
214249463,7,801744304,7440592,0,musica_1.flac,pouco-introvertido
214249463,8,219192307,21905874,3,musica_1.flac,pouco-introvertido
39634724,1,519398787,51899139,3,musica_4.flac,introvertido
39634724,2,589125145,5891317,4,musica_4.flac,introvertido
39634724,3,353980613,53683213,0,musica_4.flac,introvertido
39634724,4,603824624,60324028,3,musica_4.flac,introvertido
39634724,5,506544413,506544601,6,musica_4.flac,introvertido
39634724,6,910935239,910935148,6,musica_4.flac,introvertido
39634724,7,464898970,498878504,3,musica_4.flac,introvertido
39634724,8,415659840,458684508,2,musica_4.flac,introvertido
483741990,1,402085697,402085606,7,musica_3.flac,pouco-extrovertido
483741990,2,104130574,104130043,6,musica_3.flac,pouco-extrovertido
483741990,3,667468000,667468001,8,musica_3.flac,pouco-extrovertido
483741990,4,534798485,634784015,4,musica_3.flac,pouco-extrovertido
483741990,5,995614880,995614880,9,musica_3.flac,pouco-extrovertido
483741990,6,981748621,981748230,6,musica_3.flac,pouco-extrovertido
483741990,7,731459901,431759081,5,musica_3.flac,pouco-extrovertido
483741990,8,487327955,427327855,7,musica_3.flac,pouco-extrovertido
287559828,1,443048735,442048376,5,musica_1.flac,pouco-extrovertido
287559828,2,923072060,92307302,6,musica_1.flac,pouco-extrovertido
287559828,3,050151550,050151550,9,musica_1.flac,pouco-extrovertido
287559828,4,098764891,7980749,3,musica_1.flac,pouco-extrovertido
287559828,5,430298546,230498563,5,musica_1.flac,pouco-extrovertido
287559828,6,290463941,490367042,4,musica_1.flac,pouco-extrovertido
287559828,7,903088519,993088591,6,musica_1.flac,pouco-extrovertido
287559828,8,030285589,030285583,8,musica_1.flac,pouco-extrovertido
670182474,1,989706520,980786928,5,musica_4.flac,introvertido
670182474,2,598409961,598409581,7,musica_4.flac,introvertido
670182474,3,878735622,878735622,9,musica_4.flac,introvertido
670182474,4,514551250,514551250,9,musica_4.flac,introvertido
670182474,5,061352139,061351139,8,musica_4.flac,introvertido
670182474,6,462460894,462460894,9,musica_4.flac,introvertido
670182474,7,441343911,431342914,6,musica_4.flac,introvertido
670182474,8,523918862,513928862,7,musica_4.flac,introvertido
952276490,1,595839097,59583903,7,musica_1.flac,pouco-introvertido
952276490,2,804349598,80434950,7,musica_1.flac,pouco-introvertido
952276490,3,759846607,45987570,4,musica_1.flac,pouco-introvertido
